round,cpu_usage,memory,time
0,0,0,17:22:12.978
1,93.75,67260624,17:22:12.980
2,93.75,67456464,17:22:12.982
3,100.0,67493144,17:22:12.984
4,100.0,67962176,17:22:12.985
5,100.0,68016368,17:22:12.986
6,93.75,68032096,17:22:12.987
7,100.0,68108928,17:22:12.988
8,100.0,68294024,17:22:12.990
9,100.0,68317456,17:22:12.991
10,87.5,68348248,17:22:12.992
11,87.5,68076560,17:22:12.994
12,81.25,68082000,17:22:12.996
13,100.0,68035040,17:22:12.997
14,100.0,68049280,17:22:12.998
15,80.0,68073312,17:22:12.999
16,100.0,68083392,17:22:12.999
17,100.0,68028464,17:22:13.001
18,93.75,68166224,17:22:13.002
19,100.0,68107768,17:22:13.002
20,93.75,68030976,17:22:13.004
21,100.0,68032568,17:22:13.004
22,100.0,68139864,17:22:13.005
23,100.0,68068320,17:22:13.007
24,100.0,68215648,17:22:13.008
25,100.0,68111024,17:22:13.009
26,100.0,68163864,17:22:13.010
27,100.0,68145952,17:22:13.011
28,100.0,68099184,17:22:13.012
29,100.0,68059440,17:22:13.013
30,100.0,68008264,17:22:13.014
31,93.75,68143632,17:22:13.015
32,100.0,68267704,17:22:13.016
33,93.75,68339264,17:22:13.017
34,100.0,68367168,17:22:13.018
35,100.0,67994880,17:22:13.019
36,100.0,68055912,17:22:13.020
37,100.0,68067280,17:22:13.021
38,100.0,68071096,17:22:13.022
39,100.0,68110952,17:22:13.023
40,100.0,68127008,17:22:13.024
41,100.0,68070896,17:22:13.025
42,100.0,68075904,17:22:13.025
43,100.0,68055656,17:22:13.027
44,100.0,68108936,17:22:13.027
45,100.0,68052520,17:22:13.028
46,100.0,68085632,17:22:13.029
47,100.0,68091616,17:22:13.030
48,93.75,68158752,17:22:13.031
49,100.0,68087760,17:22:13.032
50,93.75,68101256,17:22:13.033
51,100.0,68122704,17:22:13.034
52,81.25,68140768,17:22:13.035
53,100.0,68114912,17:22:13.037
54,87.5,68139608,17:22:13.038
55,93.75,68072136,17:22:13.039
56,100.0,68176936,17:22:13.040
57,100.0,68127824,17:22:13.040
58,100.0,68159744,17:22:13.041
59,93.75,68107472,17:22:13.042
60,100.0,68144336,17:22:13.043
