run,round,cpu_usage,memory,time
1,0,0,0,20:39:02.280
1,1,0.000000,81310176,20:39:02.318
1,2,27.586207,85784952,20:39:02.342
1,3,24.242424,87036176,20:39:02.363
1,4,20.454545,87488296,20:39:02.387
1,5,26.666667,88462048,20:39:02.399
1,6,16.216216,88664544,20:39:02.422
1,7,36.363636,88807000,20:39:02.439
1,8,37.500000,90592072,20:39:02.455
1,9,20.000000,90790664,20:39:02.487
1,10,23.333333,91679800,20:39:02.506
1,11,29.411765,92687888,20:39:02.532
1,12,42.857143,93593600,20:39:02.546
1,13,28.888889,96765664,20:39:02.568
1,14,35.416667,97834296,20:39:02.599
1,15,43.750000,97897776,20:39:02.617
1,16,49.230769,99809720,20:39:02.656
1,17,68.750000,100723664,20:39:02.673
1,18,42.622951,103264552,20:39:02.712
1,19,33.333333,105854064,20:39:02.735
1,20,30.434783,109171376,20:39:02.760
1,21,18.750000,110993896,20:39:02.784
1,22,19.512195,113467112,20:39:02.808
1,23,23.076923,115252840,20:39:02.819
1,24,26.666667,117037568,20:39:02.833
1,25,21.276596,123899424,20:39:02.865
1,26,22.580645,124849024,20:39:02.882
1,27,14.634146,128018480,20:39:02.907
1,28,21.052632,129760072,20:39:02.920
1,29,22.727273,132948856,20:39:02.950
1,30,46.666667,134690896,20:39:02.962
1,31,29.787234,136501416,20:39:02.986
1,32,19.444444,138357648,20:39:03.006
1,33,18.333333,141684080,20:39:03.048
1,34,35.714286,142607656,20:39:03.060
1,35,20.000000,144340768,20:39:03.070
1,36,31.250000,146892256,20:39:03.082
1,37,25.000000,148570024,20:39:03.093
1,38,26.470588,151174624,20:39:03.108
1,39,25.000000,154419480,20:39:03.124
1,40,27.777778,156330216,20:39:03.135
1,41,16.129032,158168264,20:39:03.147
1,42,19.230769,161643168,20:39:03.169
1,43,25.000000,164281616,20:39:03.181
1,44,35.483871,168375744,20:39:03.199
1,45,20.000000,171097136,20:39:03.210
1,46,20.000000,173775488,20:39:03.220
1,47,15.789474,177699528,20:39:03.232
1,48,25.000000,181104952,20:39:03.246
1,49,18.421053,182986752,20:39:03.266
1,50,12.500000,186435488,20:39:03.296
1,51,18.750000,189633800,20:39:03.318
1,52,22.222222,193045600,20:39:03.330
1,53,26.666667,195056648,20:39:03.341
1,54,25.000000,199952848,20:39:03.351
1,55,11.764706,202617480,20:39:03.363
1,56,12.500000,204545256,20:39:03.373
1,57,17.647059,207959664,20:39:03.385
1,58,16.666667,211340920,20:39:03.400
1,59,13.043478,215280088,20:39:03.413
1,60,19.230769,219706928,20:39:03.431
1,61,38.888889,222574096,20:39:03.443
1,62,18.750000,226616328,20:39:03.455
1,63,27.272727,230963912,20:39:03.464
1,64,22.727273,234738032,20:39:03.478
1,65,11.111111,238833296,20:39:03.487
1,66,14.285714,242245752,20:39:03.496
1,67,42.857143,245666984,20:39:03.505
1,68,16.666667,249033456,20:39:03.514
1,69,18.750000,254907200,20:39:03.524
1,70,23.076923,259241432,20:39:03.533
1,71,16.666667,262717520,20:39:03.545
1,72,20.689655,268552280,20:39:03.556
1,73,37.037037,69989584,20:39:03.574
1,74,16.666667,75032384,20:39:03.583
1,75,20.000000,77270160,20:39:03.592
1,76,11.111111,82006552,20:39:03.601
1,77,16.666667,84341664,20:39:03.610
1,78,10.526316,89204352,20:39:03.621
1,79,13.333333,92526136,20:39:03.630
1,80,22.222222,95428648,20:39:03.640
1,81,5.882353,101410824,20:39:03.650
1,82,16.666667,104789544,20:39:03.658
1,83,17.647059,109638968,20:39:03.667
1,84,14.285714,114553168,20:39:03.676
1,85,13.333333,118988824,20:39:03.686
1,86,22.222222,125393208,20:39:03.701
1,87,23.529412,131070840,20:39:03.713
1,88,10.344828,135544624,20:39:03.730
1,89,12.500000,140986104,20:39:03.738
1,90,11.764706,145505088,20:39:03.748
1,91,10.526316,150192136,20:39:03.758
1,92,10.526316,155454808,20:39:03.767
1,93,9.090909,161401064,20:39:03.779
1,94,12.500000,166149088,20:39:03.792
1,95,38.461538,172255328,20:39:03.802
1,96,14.285714,177841376,20:39:03.813
1,97,20.000000,182450488,20:39:03.823
1,98,21.428571,187696536,20:39:03.832
1,99,14.285714,193713000,20:39:03.841
1,100,11.111111,199884808,20:39:03.851
1,101,33.333333,205614944,20:39:03.860
1,102,15.384615,212159864,20:39:03.870
1,103,30.769231,217164952,20:39:03.880
1,104,18.750000,222926016,20:39:03.891
1,105,17.647059,227930152,20:39:03.903
1,106,20.000000,235095944,20:39:03.913
1,107,14.285714,239681832,20:39:03.924
1,108,10.526316,244337776,20:39:03.936
1,109,21.428571,249483536,20:39:03.946
1,110,18.181818,256189560,20:39:03.956
1,111,7.692308,262112368,20:39:03.966
1,112,14.285714,267878336,20:39:03.977
1,113,31.578947,70594480,20:39:03.991
1,114,15.000000,75717448,20:39:04.001
1,115,15.000000,81633808,20:39:04.011
1,116,14.285714,88009576,20:39:04.021
1,117,20.000000,94123472,20:39:04.031
1,118,23.076923,99899152,20:39:04.040
1,119,21.428571,107416296,20:39:04.051
1,120,15.789474,112504024,20:39:04.061
1,121,13.333333,121126704,20:39:04.071
1,122,21.052632,125818192,20:39:04.083
1,123,7.407407,134242720,20:39:04.096
1,124,18.750000,141511648,20:39:04.107
1,125,18.750000,147923960,20:39:04.118
1,126,21.428571,155540616,20:39:04.130
1,127,15.789474,162239376,20:39:04.144
1,128,23.076923,168937128,20:39:04.158
1,129,16.666667,174760944,20:39:04.174
1,130,23.529412,183733864,20:39:04.185
1,131,15.000000,190457600,20:39:04.196
1,132,11.111111,196042208,20:39:04.208
1,133,9.090909,203993568,20:39:04.218
1,134,9.523810,210847040,20:39:04.229
1,135,6.250000,216409144,20:39:04.239
1,136,9.090909,224185128,20:39:04.251
1,137,15.789474,230325608,20:39:04.262
1,138,6.666667,237151664,20:39:04.275
1,139,8.571429,245370792,20:39:04.293
1,140,12.500000,251735192,20:39:04.307
1,141,11.764706,260111384,20:39:04.322
1,142,8.333333,267355680,20:39:04.336
1,143,20.000000,273278760,20:39:04.349
1,144,11.764706,281333440,20:39:04.363
1,145,11.764706,289108952,20:39:04.375
1,146,11.764706,293779792,20:39:04.386
1,147,13.636364,302125736,20:39:04.399
1,148,16.666667,309912656,20:39:04.413
1,149,13.043478,318153704,20:39:04.427
1,150,15.000000,323801200,20:39:04.440
1,151,21.739130,332595064,20:39:04.454
1,152,9.523810,340370576,20:39:04.466
1,153,13.333333,348603184,20:39:04.478
1,154,29.411765,65904632,20:39:04.493
1,155,11.764706,77201704,20:39:04.503
1,156,5.882353,85777552,20:39:04.514
1,157,11.538462,90076280,20:39:04.530
1,158,12.500000,99130368,20:39:04.543
1,159,10.526316,108542192,20:39:04.555
1,160,10.000000,113304560,20:39:04.568
1,161,13.333333,121880408,20:39:04.579
1,162,8.695652,130738056,20:39:04.589
1,163,9.090909,136062584,20:39:04.601
1,164,7.142857,145563152,20:39:04.611
1,165,11.111111,154505024,20:39:04.623
1,166,11.111111,160012232,20:39:04.634
1,167,15.789474,169754896,20:39:04.645
1,168,9.523810,178918568,20:39:04.658
1,169,13.333333,184033544,20:39:04.670
1,170,12.500000,192747040,20:39:04.685
1,171,7.692308,203456088,20:39:04.697
1,172,10.000000,212352888,20:39:04.713
1,173,12.500000,222970112,20:39:04.724
1,174,16.666667,231545856,20:39:04.735
1,175,22.222222,240400664,20:39:04.747
1,176,19.047619,250012328,20:39:04.761
1,177,22.727273,259940656,20:39:04.774
1,178,19.047619,268542776,20:39:04.786
1,179,11.764706,277962664,20:39:04.799
1,180,16.666667,287849952,20:39:04.812
1,181,8.333333,298144600,20:39:04.824
1,182,14.285714,307583152,20:39:04.836
1,183,18.750000,316717856,20:39:04.847
1,184,5.263158,325595864,20:39:04.859
1,185,23.529412,335066536,20:39:04.874
1,186,12.500000,345493448,20:39:04.887
1,187,33.333333,65783760,20:39:04.906
1,188,9.523810,78265328,20:39:04.923
1,189,9.090909,90728248,20:39:04.939
1,190,10.526316,96943784,20:39:04.954
1,191,12.000000,107116864,20:39:04.969
1,192,9.523810,117109880,20:39:04.982
1,193,11.111111,126967928,20:39:04.995
1,194,21.739130,140860592,20:39:05.008
1,195,10.714286,148176232,20:39:05.022
1,196,9.523810,157703488,20:39:05.035
1,197,15.789474,168153344,20:39:05.047
1,198,11.764706,178725824,20:39:05.060
1,199,14.285714,188737568,20:39:05.074
1,200,12.500000,198264328,20:39:05.087
1,201,16.666667,209010008,20:39:05.101
1,202,17.647059,218571280,20:39:05.114
1,203,15.384615,229257096,20:39:05.128
1,204,14.285714,238849472,20:39:05.141
1,205,14.285714,252053440,20:39:05.156
1,206,16.000000,259488040,20:39:05.173
1,207,8.695652,273467272,20:39:05.187
1,208,10.000000,280456408,20:39:05.201
1,209,11.111111,294440280,20:39:05.214
1,210,12.121212,301502096,20:39:05.230
1,211,17.647059,314759984,20:39:05.243
1,212,14.814815,321893960,20:39:05.258
1,213,14.285714,336087280,20:39:05.271
1,214,15.625000,346071616,20:39:05.287
1,215,23.809524,355546872,20:39:05.301
1,216,14.285714,365859472,20:39:05.316
1,217,13.636364,376731568,20:39:05.331
1,218,11.538462,390429624,20:39:05.346
1,219,9.090909,396999120,20:39:05.362
1,220,7.407407,410403928,20:39:05.378
2,0,0,0,20:39:12.373
2,1,0.000000,80970272,20:39:12.407
2,2,17.500000,84068720,20:39:12.433
2,3,24.137931,85205600,20:39:12.449
2,4,27.586207,86400584,20:39:12.474
2,5,18.181818,86674120,20:39:12.489
2,6,20.408163,86886032,20:39:12.516
2,7,28.571429,88644904,20:39:12.528
2,8,30.000000,88807880,20:39:12.553
2,9,24.444444,89853528,20:39:12.577
2,10,30.000000,92251216,20:39:12.605
2,11,33.333333,93297712,20:39:12.628
